anisotropy_field,Butera_and_Pernici,Ozkan_et_al,Deserno,Deng_and_Blote,Zierenberg_et_al,Hasenbusch,transition_order
0,3.19622,3.20,,,,,Second
1,2.877369,2.88,,,,,Second
1.43474,2.7,,,,,,Second
1.5,2.670434,,,,,,Second
1.68933856,2.57914,,,,,2.5791695,Second
1.83970,2.5,,,,,,Second
2,2.407314,2.42,,,,,Second
2.16568,2.3,,,,,,Second
2.2,2.275495,2.27,,,,,Second
2.4,2.118974,2.11,,,,,Second
2.42144,2.1,,,,,,Second
2.523,,,,,2,,Second
2.52513,2,,,,,,Second
2.61361,1.9,,,,,,Second
2.68752,1.8,,,,,,Second
2.74738,1.7,,,,,,Second
2.79370,1.6,,,,,,Second
2.80,,1.61,,,,,Second
2.82,,1.59,,,,,Second
2.82693,1.5,,,,,,Second
2.83874,1.45,,,,,,Second
2.8446,,,,,1.4182,,TCP
2.8448,1.421,,1.4182,,,,TCP
2.8477,1.403,,,1.4019,,,TCP
2.8502,0.221,,,,,,First
2.890,0.201,,,,,,First
2.961,0.152,,,,,,First
2.994,0.108,,,,,,First
2.998,0.0835,,,,,,First
